source_dataset,original_class,canonical_class,crop,disease,image_path,sha256,width,height,valid,duplicate,license_status,inclusion_status,exclusion_reason,local_path,class_idx,is_field
PlantDoc,Apple leaf,apple_healthy,apple,apple_healthy,P:\Agri Analysis\backend\ml\dataset\PlantDoc-Dataset-master\test\Apple leaf\20180511_090912-14gtw8a-e1526047952754.jpg,93eaedfb1c29ec24e347500fa9e1e5556ba94af539254caac79c8b471d11b8df,0,0,True,False,UNVERIFIED,INCLUDED,Valid,P:\Agri Analysis\backend\ml\dataset\PlantDoc-Dataset-master\test\Apple leaf\20180511_090912-14gtw8a-e1526047952754.jpg,0,True
PlantDoc,Apple leaf,apple_healthy,apple,apple_healthy,P:\Agri Analysis\backend\ml\dataset\PlantDoc-Dataset-master\test\Apple leaf\20180511_091133-24l1vhg-e1526047988236.jpg,646de55f7314f6994e453a8b5306fdf63e7b8f66a28b29fa9274be3b4d763883,0,0,True,False,UNVERIFIED,INCLUDED,Valid,P:\Agri Analysis\backend\ml\dataset\PlantDoc-Dataset-master\test\Apple leaf\20180511_091133-24l1vhg-e1526047988236.jpg,0,True
PlantDoc,Apple leaf,apple_healthy,apple,apple_healthy,P:\Agri Analysis\backend\ml\dataset\PlantDoc-Dataset-master\test\Apple leaf\20180511_091252-1gy5xf5-e1526048000596.jpg,aa297cdf285ef4fd70ef7561b0f80f212d169a075ab01e6ea15a39b49788d4bb,0,0,True,False,UNVERIFIED,INCLUDED,Valid,P:\Agri Analysis\backend\ml\dataset\PlantDoc-Dataset-master\test\Apple leaf\20180511_091252-1gy5xf5-e1526048000596.jpg,0,True
PlantDoc,Apple leaf,apple_healthy,apple,apple_healthy,P:\Agri Analysis\backend\ml\dataset\PlantDoc-Dataset-master\test\Apple leaf\4120978-single-green-leaf-of-apple-tree.jpg,86ae7cf7e63818282f1e6c217a50ddd0bc2399c677d29268c5603bc0869f8192,0,0,True,False,UNVERIFIED,INCLUDED,Valid,P:\Agri Analysis\backend\ml\dataset\PlantDoc-Dataset-master\test\Apple leaf\4120978-single-green-leaf-of-apple-tree.jpg,0,True
PlantDoc,Apple leaf,apple_healthy,apple,apple_healthy,P:\Agri Analysis\backend\ml\dataset\PlantDoc-Dataset-master\test\Apple leaf\apple-leaf-14319997.jpg,ee31497d152703df4f9581a32796cc272181cc0b2bd7be22d5e10ee0f40cac9d,0,0,True,False,UNVERIFIED,INCLUDED,Valid,P:\Agri Analysis\backend\ml\dataset\PlantDoc-Dataset-master\test\Apple leaf\apple-leaf-14319997.jpg,0,True
PlantDoc,Apple leaf,apple_healthy,apple,apple_healthy,P:\Agri Analysis\backend\ml\dataset\PlantDoc-Dataset-master\test\Apple leaf\apple-leaf-9834637.jpg,56a414ce3976cfbd137ebabac52ca2faba093d9a865368d129eae5bae0ac14e8,0,0,True,False,UNVERIFIED,INCLUDED,Valid,P:\Agri Analysis\backend\ml\dataset\PlantDoc-Dataset-master\test\Apple leaf\apple-leaf-9834637.jpg,0,True
PlantDoc,Apple leaf,apple_healthy,apple,apple_healthy,P:\Agri Analysis\backend\ml\dataset\PlantDoc-Dataset-master\test\Apple leaf\apple-leaf-closeup-37636177.jpg,8d345ef55e8b6b13407264385e8076101c8f3711b908c6c2f8eb32a16ae78864,0,0,True,False,UNVERIFIED,INCLUDED,Valid,P:\Agri Analysis\backend\ml\dataset\PlantDoc-Dataset-master\test\Apple leaf\apple-leaf-closeup-37636177.jpg,0,True
PlantDoc,Apple leaf,apple_healthy,apple,apple_healthy,P:\Agri Analysis\backend\ml\dataset\PlantDoc-Dataset-master\test\Apple leaf\apple-leaf-isolated-white-background-56631026.jpg,4742bf7d38d0b0d9042cb3430d6f703d9877fc1bc5703977da24d48fb001df82,0,0,True,False,UNVERIFIED,INCLUDED,Valid,P:\Agri Analysis\backend\ml\dataset\PlantDoc-Dataset-master\test\Apple leaf\apple-leaf-isolated-white-background-56631026.jpg,0,True
PlantDoc,Apple leaf,apple_healthy,apple,apple_healthy,P:\Agri Analysis\backend\ml\dataset\PlantDoc-Dataset-master\test\Apple leaf\Apple-Leaf-Wallpaper-17.jpg,632220da09aa65fcd78c805f778511125c99639b3894170f4d9c8a94f7f32ddb,0,0,True,False,UNVERIFIED,INCLUDED,Valid,P:\Agri Analysis\backend\ml\dataset\PlantDoc-Dataset-master\test\Apple leaf\Apple-Leaf-Wallpaper-17.jpg,0,True
PlantDoc,Apple Scab Leaf,apple_scab,apple,apple_scab,P:\Agri Analysis\backend\ml\dataset\PlantDoc-Dataset-master\test\Apple Scab Leaf\052609%20Hartman%20Crabapple%20scab%20single%20leaf.JPG.jpg,13cfeac779b23fa433e92498086f19b1768b84cab23bc9d25e5b33cbe7ca17db,0,0,True,False,UNVERIFIED,INCLUDED,Valid,P:\Agri Analysis\backend\ml\dataset\PlantDoc-Dataset-master\test\Apple Scab Leaf\052609%20Hartman%20Crabapple%20scab%20single%20leaf.JPG.jpg,1,True
PlantDoc,Apple Scab Leaf,apple_scab,apple,apple_scab,P:\Agri Analysis\backend\ml\dataset\PlantDoc-Dataset-master\test\Apple Scab Leaf\1b321015-6e33-4f18-aade-888f4383fe92.jpeg.jpg,7af1a2678a7114632f0274947888e29794321fc9e5edc25dd78d16d42017d685,0,0,True,False,UNVERIFIED,INCLUDED,Valid,P:\Agri Analysis\backend\ml\dataset\PlantDoc-Dataset-master\test\Apple Scab Leaf\1b321015-6e33-4f18-aade-888f4383fe92.jpeg.jpg,1,True
PlantDoc,Apple Scab Leaf,apple_scab,apple,apple_scab,P:\Agri Analysis\backend\ml\dataset\PlantDoc-Dataset-master\test\Apple Scab Leaf\28-500x375.jpg,5fb95aeef21638c09143a6f15c39c65eb7be22e7c752730c648ed7b60c6d50d8,0,0,True,False,UNVERIFIED,INCLUDED,Valid,P:\Agri Analysis\backend\ml\dataset\PlantDoc-Dataset-master\test\Apple Scab Leaf\28-500x375.jpg,1,True
PlantDoc,Apple Scab Leaf,apple_scab,apple,apple_scab,P:\Agri Analysis\backend\ml\dataset\PlantDoc-Dataset-master\test\Apple Scab Leaf\816.jpg,ffc0df6903deff23117a8517a8365d729b073b272d3e6dfb97d414b1f736ddf5,0,0,True,False,UNVERIFIED,INCLUDED,Valid,P:\Agri Analysis\backend\ml\dataset\PlantDoc-Dataset-master\test\Apple Scab Leaf\816.jpg,1,True
PlantDoc,Apple Scab Leaf,apple_scab,apple,apple_scab,P:\Agri Analysis\backend\ml\dataset\PlantDoc-Dataset-master\test\Apple Scab Leaf\apple%20scab%20leaf.jpg,9fc6c998582e99696112bc79e2ce2f20f023641323d2642489b772f43073f3cf,0,0,True,False,UNVERIFIED,INCLUDED,Valid,P:\Agri Analysis\backend\ml\dataset\PlantDoc-Dataset-master\test\Apple Scab Leaf\apple%20scab%20leaf.jpg,1,True
PlantDoc,Apple Scab Leaf,apple_scab,apple,apple_scab,P:\Agri Analysis\backend\ml\dataset\PlantDoc-Dataset-master\test\Apple Scab Leaf\apple%20scabnew.jpg,6caf2ad458a695a73f9d890934f38628ad47e1fc395e5219ce0ee1caf57242d8,0,0,True,False,UNVERIFIED,INCLUDED,Valid,P:\Agri Analysis\backend\ml\dataset\PlantDoc-Dataset-master\test\Apple Scab Leaf\apple%20scabnew.jpg,1,True
PlantDoc,Apple Scab Leaf,apple_scab,apple,apple_scab,P:\Agri Analysis\backend\ml\dataset\PlantDoc-Dataset-master\test\Apple Scab Leaf\apple-scab-5366820.jpg,1eaebcb9926515196f0e5499ed932bffe2dd1897e8bad55da41c4100cbc4f1b2,0,0,True,False,UNVERIFIED,INCLUDED,Valid,P:\Agri Analysis\backend\ml\dataset\PlantDoc-Dataset-master\test\Apple Scab Leaf\apple-scab-5366820.jpg,1,True
PlantDoc,Apple Scab Leaf,apple_scab,apple,apple_scab,P:\Agri Analysis\backend\ml\dataset\PlantDoc-Dataset-master\test\Apple Scab Leaf\apples_apple-scab_01_zoom.jpg,b47288fa0e351c4483d62ff1bd6db178e3fba89137407726e6f2890cf7a5d248,0,0,True,False,UNVERIFIED,INCLUDED,Valid,P:\Agri Analysis\backend\ml\dataset\PlantDoc-Dataset-master\test\Apple Scab Leaf\apples_apple-scab_01_zoom.jpg,1,True
PlantDoc,Apple Scab Leaf,apple_scab,apple,apple_scab,P:\Agri Analysis\backend\ml\dataset\PlantDoc-Dataset-master\test\Apple Scab Leaf\apples_apple-scab_02_thm.jpg,f91a6ba2e60144bd62175891872170b57a3e1bfd642a7816b018b86db76257f7,0,0,True,False,UNVERIFIED,INCLUDED,Valid,P:\Agri Analysis\backend\ml\dataset\PlantDoc-Dataset-master\test\Apple Scab Leaf\apples_apple-scab_02_thm.jpg,1,True
PlantDoc,Apple Scab Leaf,apple_scab,apple,apple_scab,P:\Agri Analysis\backend\ml\dataset\PlantDoc-Dataset-master\test\Apple Scab Leaf\apples_apple-scab_10_zoom.jpg,0b32e3e7a5a1b37b7f9a18721cb2674260f6ac3246c690879d82345c9c576f76,0,0,True,False,UNVERIFIED,INCLUDED,Valid,P:\Agri Analysis\backend\ml\dataset\PlantDoc-Dataset-master\test\Apple Scab Leaf\apples_apple-scab_10_zoom.jpg,1,True
