Class,Support,Precision,Recall,F1_Score
apple_healthy,191,0.9946236559139785,0.9685863874345549,0.9814323607427056
apple_scab,91,0.8958333333333334,0.945054945054945,0.9197860962566845
apple_black_rot,62,0.9841269841269841,1.0,0.992
maize_healthy,116,0.9914529914529915,1.0,0.9957081545064378
maize_cercospora_leaf_spot,71,0.7125,0.8028169014084507,0.7549668874172185
maize_common_rust,154,0.9794520547945206,0.9285714285714286,0.9533333333333334
maize_northern_leaf_blight,156,0.88,0.8461538461538461,0.8627450980392157
grape_healthy,63,0.9375,0.9523809523809523,0.9448818897637795
grape_black_rot,137,0.9847328244274809,0.9416058394160584,0.9626865671641791
grape_esca,139,0.9928057553956835,0.9928057553956835,0.9928057553956835
grape_leaf_blight,108,0.9908256880733946,1.0,0.9953917050691244
rice_healthy,472,0.8446601941747572,0.9216101694915254,0.8814589665653495
rice_bacterial_leaf_blight,54,0.84375,1.0,0.9152542372881356
rice_brown_spot,732,0.9563025210084034,0.7773224043715847,0.8575734740015072
rice_leaf_smut,216,0.5960912052117264,0.8472222222222222,0.6998087954110899
